Tub,Building,Unknown,kBtu.00,MTCDE.00,kBtu.01,MTCDE.01,kBtu.02,MTCDE.02,kBtu.03,MTCDE.03,kBtu.04,MTCDE.04,kBtu.05,MTCDE.05,kBtu.06,MTCDE.06,kBtu.07,MTCDE.07,kBtu.08,MTCDE.08,kBtu.09,MTCDE.09,kBtu.10,MTCDE.10,kBtu.11,MTCDE.11,kBtu.12,MTCDE.12,kBtu.13,MTCDE.13,kBtu.14,MTCDE.14,kBtu.15,MTCDE.15,kBtu.16,MTCDE.16,kBtu.17,MTCDE.17,kBtu.18,MTCDE.18,kBtu.19,MTCDE.19,kBtu.20,MTCDE.20,kBtu.21,MTCDE.21
340,Blodgett Pool (03840; B-867),55247,4114975,330.2,20608767,1200.0,13696103,844.1,22404159,1304.7,18855900,1114.5,11399723,717.2,10458068,640.4,11357443,701.8,12454092,763.4,11633910,712.9,7043626,481.7,13453896,852.1,7076695,553.1,8614275,630.9,7448838,543.2,6560565,499.7,6924520,529.5,7171934,529.6,7128667,521.2,6875142,473.4,4564250,365.6,4960045,296.8
340,Bright Hockey Center (03851; B-862),96499,9180199,814.4,9074454,799.6,9754965,851.9,9064905,798.0,9095377,816.1,10052346,889.4,9759116,861.5,9867383,882.9,10024426,872.1,9363082,831.4,8883768,792.5,10154854,873.7,11824799,991.0,13094763,1075.3,12282255,1016.8,13159241,1110.4,14579204,1212.3,14320878,1200.5,12776222,1094.9,15944109,1303.2,14622843,1196.3,5701289,467.8
340,Dillon Field House (03855; B-852),46275,3036075,240.1,4453738,325.4,4329945,319.0,4754296,342.6,5241302,369.5,5098451,370.4,4171928,311.8,4217004,312.1,4069853,300.6,4002287,295.6,3686489,277.8,4756972,358.4,4303735,343.8,4024442,324.5,4622043,359.2,4628265,364.8,4509822,351.3,4294928,335.6,4215582,335.1,4117393,327.8,3221606,262.0,1720804,133.4
340,Gordon Track and Tennis Center (03860; B-864),75021,2006924,173.5,2766260,233.4,2342590,204.8,3044565,244.9,3084930,253.1,2688664,223.9,2869789,229.2,3155291,248.8,2056695,162.1,2275210,177.7,2358602,185.2,3396625,268.9,2583466,213.2,3013893,242.8,3287671,262.2,3066400,244.9,2540798,207.6,2851974,228.8,2947802,235.2,2555404,210.3,2826548,223.1,1737403,127.1
340,Harvard Yacht Club (03865; B-865),4620,109785,12.5,162094,18.5,128022,14.6,176284,20.1,153806,17.6,151418,17.3,151520,17.3,148361,17.0,154001,17.6,159269,18.2,140260,16.0,161848,18.5,124347,14.2,146034,16.7,171572,19.6,171020,19.5,149903,17.1,183289,21.0,186981,21.4,191120,21.8,159572,18.2,89446,10.2
340,Hemenway Gymnasium (03870; B-854),35583,1609076,122.3,1812288,140.4,2319231,172.6,2998055,216.8,2687331,201.9,2764413,209.9,4002454,324.0,6017083,431.3,5765033,423.1,5288755,390.4,5574806,395.1,5762159,410.7,5710273,403.7,5332780,381.3,4492137,309.4,5368438,372.9,6281303,429.6,5495057,377.5,4670485,333.4,5895895,407.0,5121923,346.8,1249038,96.7
340,Lavietes Pavilion / Briggs Cage (03845; B-850),31688,2283813,184.0,3226191,253.3,4116612,313.4,3926613,299.7,3758732,295.1,3079286,250.3,2682358,216.7,2782662,216.1,3053091,236.3,2489751,193.7,1979273,163.8,2217163,192.7,1931302,173.9,2156559,190.0,1945497,174.6,2976695,245.4,3709010,305.5,2622541,230.1,4069482,375.0,3984692,380.8,3305295,316.4,964562,103.8
340,Malkin Athletic Center (03875; B-855),152483,9014549,672.9,10292305,773.5,10288284,794.6,12667191,953.0,12496995,948.9,13902766,1076.7,13128750,1024.7,10682980,853.4,10629106,827.8,11125735,888.2,9122329,736.4,11648402,917.8,11287920,851.2,12407874,903.7,11384092,842.6,13366298,945.2,12893965,898.8,14591009,1001.4,15948108,1077.2,15065463,1066.0,13203091,968.1,7019343,471.8
340,Murr Building (03885; B-119),118133,5933248,527.8,6626789,565.0,6493626,564.4,8764199,825.5,9027312,879.1,7887745,781.0,8126780,803.9,7507910,741.9,7870038,758.4,6899189,675.1,6536740,648.1,6836775,673.7,6153470,610.9,6244405,609.5,6237262,610.7,6449963,635.0,7839745,774.8,7907848,761.7,6393412,627.2,6753712,640.4,5220935,493.8,2964874,250.8
340,Newell Boat House (03891; B-856),22498,1229636,97.2,3479936,261.6,2565653,194.5,3225787,243.1,2995731,226.8,3582241,270.0,2995798,226.5,3051685,229.9,2805276,209.9,2768140,206.9,2586513,193.7,3018177,225.5,2028329,153.3,2597201,195.3,2553851,192.9,2697101,203.8,2419727,183.4,2670798,202.4,2610152,197.8,2880073,217.5,2335489,177.0,662009,51.1
